code;listOfProducts;observations;client;date
59428-000;Tomatoes - Plum, Canned;clear-thinking;Bartlet Mulleary;2/24/2021
62175-107;Juice - Tomato, 48 Oz;toolset;Seline Bleacher;4/12/2020
37205-565;Rice Pilaf, Dry,package;Stand-alone;Ralf Hamelyn;5/23/2020
36987-1281;Beans - French;encompassing;Donavon Challes;5/17/2020
43063-297;Cocoa Feuilletine;grid-enabled;Edita Oldacre;8/19/2020
0536-3479;Kellogs All Bran Bars;Profit-focused;Adriane Fancutt;12/11/2020
61787-452;Gingerale - Diet - Schweppes;Ameliorated;Stephine Reams;6/28/2020
57896-184;Lid - 0090 Clear;Multi-channelled;Cullen Tillard;12/9/2020
43547-331;Wine - Cahors Ac 2000, Clos;User-friendly;Kingsly Kilkenny;12/5/2020
55910-444;Beef - Flank Steak;multi-tasking;Lynsey Benley;7/21/2020
50991-598;Fish - Base, Bouillion;Universal;Donielle Diggle;7/3/2020
0363-0544;Wine - Gato Negro Cabernet;Exclusive;Trista Yarnton;9/9/2020
68084-723;Cabbage - Savoy;hub;Norrie Botten;6/15/2020
67938-1392;Langers - Cranberry Cocktail;Compatible;Borg Westmancoat;1/23/2021
57896-489;Island Oasis - Pina Colada;website;Godwin Huebner;10/6/2020
36987-3453;Phyllo Dough;flexibility;Stacee Matteuzzi;8/25/2020
49999-074;Salmon - Atlantic, Fresh, Whole;methodical;Robena Toovey;2/23/2021
60258-162;Sauce - Cranberry;Synergistic;Ali Huggard;1/16/2021
60681-5101;Pasta - Fettuccine, Egg, Fresh;leading edge;Aidan Capron;1/3/2021
69153-010;Soup Campbells - Italian Wedding;dynamic;Garek Cramond;6/20/2020
0264-7636;Cheese - Swiss;Down-sized;Jason Daelman;1/29/2021
49035-310;Black Currants;Customizable;Christos Sturmey;7/2/2020
62011-0001;Chevril;regional;Jeramie Paxforde;12/20/2020
59970-074;Bacardi Breezer - Tropical;paradigm;Nobie Bentick;7/5/2020
58411-178;Milk Powder;Cross-group;Felisha Glaves;5/16/2020
13537-274;Napkin - Beverge, White 2 - Ply;Fundamental;Bellina Judson;9/19/2020
10544-227;Banana - Leaves;Centralized;Cathy Aldhouse;7/17/2020
0378-5124;Langers - Cranberry Cocktail;Grass-roots;Selle Caygill;6/18/2020
48951-1025;Ginsing - Fresh;open architecture;Chuck Morican;2/15/2021
63739-931;Apple - Northern Spy;Multi-layered;Gibb Emm;10/27/2020
48273-001;Pepper - Black, Ground;Advanced;Duffy Kiddey;7/14/2020
66715-9726;Soup Campbells Split Pea And Ham;definition;Michelle Mille;11/29/2020
55910-300;Mangoes;24 hour;Fifine Spennock;1/15/2021
10356-559;Potatoes - Yukon Gold, 80 Ct;infrastructure;Correy Ors;1/31/2021
60846-902;Bread - 10 Grain Parisian;Profound;Maggi Monger;1/25/2021
68788-9828;Coffee - Frthy Coffee Crisp;value-added;Morgen O'Loughlin;8/17/2020
57520-0227;Beef - Eye Of Round;hybrid;Lindy Cartner;9/11/2020
33992-1108;Wine - White, Concha Y Toro;encompassing;Logan Futty;11/5/2020
0603-2544;Pasta - Angel Hair;Quality-focused;Kristen Demeter;4/2/2020
66129-310;Lemonade - Natural, 591 Ml;portal;Ettore Pinson;2/26/2021
54868-5777;Oxtail - Cut;next generation;Zilvia Dallow;2/24/2021
51531-7481;Milk 2% 500 Ml;didactic;Ddene Errey;2/17/2021
57955-0126;Ice Cream Bar - Hagen Daz;Versatile;Harald Rossbrook;9/8/2020
59726-360;Wine - Pinot Grigio Collavini;Digitized;Bendite Ricardou;4/21/2020
52125-867;Cheese - Perron Cheddar;bandwidth-monitored;Benedicto Baud;5/24/2020
53045-125;Soup - Campbells Chili Veg;national;Leanora Boodle;2/2/2021
41520-259;Sausage - Chorizo;Stand-alone;Jeremie Deppe;11/17/2020
53808-0933;Cup - 6oz, Foam;solution;Ronda Petric;2/10/2021
59779-808;Berry Brulee;task-force;Marget Kinkead;9/27/2020
55502-1001;Ham Black Forest;collaboration;Ella Dericut;10/14/2020
